http_code|time_total|size|elapsed_ms|rate_headers
200|0.110281|4082|217|
200|0.183087|4082|294|
200|0.140538|4082|249|
200|0.138918|4082|254|
200|0.132299|4082|251|
200|0.124470|4082|234|
200|0.128895|4082|243|
200|0.146301|4082|254|
200|0.108016|4082|214|
200|0.118384|4082|225|
200|0.105640|4082|215|
200|0.129356|4082|248|
200|0.130283|4082|244|
200|0.105487|4082|209|
200|0.109701|4082|222|
200|0.112144|4082|220|
200|0.105685|4082|212|
200|0.195407|4082|309|
200|0.096622|4082|194|
200|0.109402|4082|216|
