http_code|time_total|size|elapsed_ms|rate_headers
200|0.048409|4803|147|
200|0.050297|4803|146|
200|0.052960|4803|152|
200|0.050555|4803|148|
200|0.055221|4803|151|
200|0.595258|4803|702|
200|0.050241|4803|153|
200|0.041691|4803|133|
200|0.048716|4803|143|
200|0.045558|4803|140|
200|0.042582|4803|139|
200|0.043777|4803|135|
200|0.300298|4803|393|
200|2.578737|4803|2683|
200|0.051147|4803|155|
200|0.048829|4803|144|
200|0.051529|4803|148|
200|0.055281|4803|153|
200|0.264003|4803|380|
200|0.043515|4803|146|
