http_code|time_total|size|elapsed_ms|rate_headers
200|0.235079|95003|0|
200|2.209556|94939|0|
200|0.221038|95003|0|
200|0.217998|94938|0|
200|0.221584|94938|0|
200|0.243107|95003|0|
200|0.210657|94939|0|
200|0.201560|94939|0|
200|0.251704|94939|0|
200|0.243808|95003|0|
200|0.277399|94939|0|
200|0.222230|94939|0|
200|0.259529|94939|0|
200|0.234624|94939|0|
200|0.198258|94939|0|
200|0.198654|94938|0|
200|0.323813|94939|0|
200|0.201673|94938|0|
200|0.171517|95003|0|
200|0.192472|94939|0|
200|0.207665|95003|0|
200|0.204514|94939|0|
200|0.189550|95003|0|
200|0.204379|94938|0|
200|0.301680|94938|0|
200|0.311608|95003|0|
200|0.246607|94939|0|
200|0.288612|94939|0|
200|0.206680|94938|0|
200|0.215764|94939|0|
