http_code|time_total|size|elapsed_ms|rate_headers
200|0.089336|4126|189|
200|1.049599|4126|1158|
200|0.053800|4126|163|
200|0.074210|4126|179|
200|0.263397|4126|374|
200|0.061777|4126|162|
200|0.054040|4126|148|
200|0.107656|4126|210|
200|0.084494|4126|187|
200|0.061530|4126|161|
200|0.054482|4126|141|
200|0.102434|4126|213|
200|0.099199|4126|201|
200|0.050929|4126|140|
200|0.058981|4126|155|
200|0.058473|4126|156|
200|0.122463|4126|230|
200|0.063736|4126|162|
200|0.066135|4126|166|
200|0.053631|4126|151|
200|0.096534|4126|201|
200|0.061804|4126|164|
200|0.067753|4126|163|
200|0.079201|4126|181|
200|0.062850|4126|158|
200|0.053507|4126|158|
200|0.065251|4126|172|
200|0.059603|4126|161|
200|1.076305|4126|1186|
200|0.051650|4126|149|
