http_code|time_total|size|elapsed_ms|rate_headers
200|0.038381|382|135|
200|0.039561|382|123|
200|0.037024|382|125|
200|0.038186|382|138|
200|0.045128|382|139|
200|0.040830|382|133|
200|0.083614|382|181|
200|1.044760|382|1143|
200|0.049792|382|150|
200|0.054341|382|148|
200|0.038132|382|130|
200|0.049149|382|137|
200|0.048831|382|144|
200|0.038751|382|130|
200|0.040815|382|120|
200|0.037951|382|139|
200|0.031733|382|124|
200|0.041393|382|136|
200|0.044050|382|141|
200|0.034030|382|127|
200|0.044300|382|136|
200|0.038709|382|124|
200|0.036868|382|130|
200|0.037952|382|132|
200|0.036477|382|133|
200|0.038810|382|133|
200|0.044192|382|140|
200|0.037311|382|129|
200|0.038867|382|132|
200|0.034506|382|132|
